Source.Name,Total Throuhput (MB/s),Total IOPS,terse_version_3,fio_version,jobname,groupid,error,read_kb,read_bandwidth,read_iops,read_runtime_ms,read_slat_min,read_slat_max,read_slat_mean,read_slat_dev,read_clat_max,read_clat_min,read_clat_mean,read_clat_dev,read_clat_pct01,read_clat_pct02,read_clat_pct03,read_clat_pct04,read_clat_pct05,read_clat_pct06,read_clat_pct07,read_clat_pct08,read_clat_pct09,read_clat_pct10,read_clat_pct11,read_clat_pct12,read_clat_pct13,read_clat_pct14,read_clat_pct15,read_clat_pct16,read_clat_pct17,read_clat_pct18,read_clat_pct19,read_clat_pct20,read_tlat_min,read_lat_max,read_lat_mean,read_lat_dev,read_bw_min,read_bw_max,read_bw_agg_pct,read_bw_mean,read_bw_dev,write_kb,write_bandwidth,write_iops,write_runtime_ms,write_slat_min,write_slat_max,write_slat_mean,write_slat_dev,write_clat_max,write_clat_min,write_clat_mean,write_clat_dev,write_clat_pct01,write_clat_pct02,write_clat_pct03,write_clat_pct04,write_clat_pct05,write_clat_pct06,write_clat_pct07,write_clat_pct08,write_clat_pct09,write_clat_pct10,write_clat_pct11,write_clat_pct12,write_clat_pct13,write_clat_pct14,write_clat_pct15,write_clat_pct16,write_clat_pct17,write_clat_pct18,write_clat_pct19,write_clat_pct20,write_tlat_min,write_lat_max,write_lat_mean,write_lat_dev,write_bw_min,write_bw_max,write_bw_agg_pct,write_bw_mean,write_bw_dev,cpu_user,cpu_sys,cpu_csw,cpu_mjf,pu_minf,iodepth_1,iodepth_2,iodepth_4,iodepth_8,iodepth_16,iodepth_32,iodepth_64,lat_2us,lat_4us,lat_10us,lat_20us,lat_50us,lat_100us,lat_250us,lat_500us,lat_750us,lat_1000us,lat_2ms,lat_4ms,lat_10ms,lat_20ms,lat_50ms,lat_100ms,lat_250ms,lat_500ms,lat_750ms,lat_1000ms,lat_2000ms,lat_over_2000ms,disk_name,disk_read_iops,disk_write_iops,disk_read_merges,disk_write_merges,disk_read_ticks,write_ticks,disk_queue_time,disk_util
server20-s5_fio_direct-1_readwrite-randrw_rwmixwrite-30_no-jobs-64_bs-128k_iodepth-8_10-04_10_14_41.txt,2655.7099609375,21244,3,fio-2.1.3,server20-s5,0,0,114432128,1904250,14876,60093,8,716,14.363375,4.128278,331,818179,23618.426828,50242.413298,1.000000%=418,5.000000%=532,10.000000%=780,20.000000%=1096,30.000000%=1384,40.000000%=1768,50.000000%=2384,60.000000%=3600,70.000000%=8512,80.000000%=28800,90.000000%=83456,95.000000%=138240,99.000000%=222208,99.500000%=268288,99.900000%=378880,99.950000%=432128,99.990000%=643072,0%=0,0%=0,0%=0,344,818201,23632.899744,50242.085758,8549,53881,0.01568138,29861.270407,6068.173008,48987648,815197,6368,60093,8,323,16.961507,4.448263,596,816905,25147.112598,52239.358215,1.000000%=924,5.000000%=1160,10.000000%=1336,20.000000%=1608,30.000000%=1912,40.000000%=2288,50.000000%=2864,60.000000%=4192,70.000000%=10304,80.000000%=31104,90.000000%=87552,95.000000%=142336,99.000000%=232448,99.500000%=280576,99.900000%=399360,99.950000%=473088,99.990000%=659456,0%=0,0%=0,0%=0,615,816917,25164.192838,52239.040081,2865,24832,0.01567989,12782.200612,2903.026488,0.00155299,0.00663532,1264064,0,700,0.001,0.001,0.001,1,0,0,0,0,0,0,0,0,0,0,0.0282,0.0377,0.0552,0.2877,0.202,0.0972,0.0576,0.0842,0.067,0.0755,0.0072,0.0004,0.0001,0,0,scinia,892203,381888,0,0,21027664,9588060,30672452,0.9998
server20-s5_fio_direct-1_readwrite-randrw_rwmixwrite-30_no-jobs-64_bs-16k_iodepth-8_10-04_10_13_35.txt,2593.8857421875,166008,3,fio-2.1.3,server20-s5,0,0,111890976,1859302,116206,60179,3,4019,11.742879,10.313329,0,649879,2846.422934,10999.567606,1.000000%=233,5.000000%=302,10.000000%=398,20.000000%=516,30.000000%=628,40.000000%=772,50.000000%=932,60.000000%=1144,70.000000%=1576,80.000000%=2480,90.000000%=6240,95.000000%=11840,99.000000%=20864,99.500000%=26752,99.900000%=203776,99.950000%=207872,99.990000%=403456,0%=0,0%=0,0%=0,143,649884,2858.269911,10999.406918,11577,41312,0.01570392,29198.328141,4845.620873,47952912,796837,49802,60179,3,2964,12.36364,10.320406,26,649902,3577.785032,14525.75772,1.000000%=470,5.000000%=588,10.000000%=668,20.000000%=788,30.000000%=916,40.000000%=1048,50.000000%=1208,60.000000%=1432,70.000000%=1832,80.000000%=2768,90.000000%=6880,95.000000%=12608,99.000000%=22912,99.500000%=50944,99.900000%=207872,99.950000%=214016,99.990000%=407552,0%=0,0%=0,0%=0,286,649909,3590.254517,14525.664416,4992,17792,0.01570257,12512.388068,2119.770229,0.00556158,0.03868662,9506483,0,32183,0.001,0.001,0.001,1,0,0,0,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0153,0.1188,0.1857,0.1643,0.2633,0.1116,0.0753,0.0531,0.009,0.0005,0.0028,0.0001,0.0001,0,0,0,scinia,6993433,2997052,0,0,19909344,10725800,30914456,1
server20-s5_fio_direct-1_readwrite-randrw_rwmixwrite-30_no-jobs-64_bs-4k_iodepth-8_10-04_10_12_30.txt,904.5087890625,231553,3,fio-2.1.3,server20-s5,0,0,38906420,648418,162104,60002,3,18526,72.128444,75.550953,1,203360,2055.191681,1839.095904,1.000000%=516,5.000000%=748,10.000000%=908,20.000000%=1144,30.000000%=1336,40.000000%=1544,50.000000%=1768,60.000000%=2008,70.000000%=2320,80.000000%=2704,90.000000%=3440,95.000000%=4256,99.000000%=6496,99.500000%=7520,99.900000%=11200,99.950000%=14784,99.990000%=85504,0%=0,0%=0,0%=0,148,203435,2127.670368,1846.598808,6456,11288,0.01563073,10135.245798,528.88012,16668528,277799,69449,60002,3,13871,72.47804,75.952318,1,220373,2329.053679,2243.864422,1.000000%=668,5.000000%=924,10.000000%=1096,20.000000%=1352,30.000000%=1560,40.000000%=1784,50.000000%=2008,60.000000%=2288,70.000000%=2576,80.000000%=3024,90.000000%=3792,95.000000%=4640,99.000000%=6880,99.500000%=8032,99.900000%=13120,99.950000%=19328,99.990000%=104960,0%=0,0%=0,0%=0,231,220424,2401.878068,2249.797479,2712,5160,0.0156295,4341.859638,259.591548,0.00670413,0.26568598,10172145,0,32737,0.001,0.001,0.001,1,0,0,0,0.0001,0,0,0,0.0001,0.0001,0.0002,0.0066,0.0333,0.0769,0.4498,0.3653,0.0664,0.0013,0.0001,0.0001,0.0001,0,0,0,0,0,scinia,9710004,4159931,0,0,20096140,9744652,29897668,1
server20-s5_fio_direct-1_readwrite-readwrite_rwmixwrite-30_no-jobs-64_bs-128k_iodepth-8_10-04_10_11_24.txt,2611.318359375,20890,3,fio-2.1.3,server20-s5,0,0,112629760,1870242,14611,60222,7,215,13.848279,3.76537,290,1037244,23987.996217,49175.172517,1.000000%=510,5.000000%=732,10.000000%=996,20.000000%=1384,30.000000%=1848,40.000000%=2512,50.000000%=3504,60.000000%=5664,70.000000%=12352,80.000000%=30848,90.000000%=78336,95.000000%=126464,99.000000%=220160,99.500000%=276480,99.900000%=407552,99.950000%=477184,99.990000%=651264,0%=0,0%=0,0%=0,302,1037254,24001.935502,49175.126773,488,90625,0.01580056,29550.877043,11338.476845,48403328,803748,6279,60222,8,239,16.785599,4.00835,604,1039351,25456.686334,50885.287307,1.000000%=932,5.000000%=1192,10.000000%=1384,20.000000%=1736,30.000000%=2160,40.000000%=2768,50.000000%=3824,60.000000%=6432,70.000000%=14016,80.000000%=33536,90.000000%=82432,95.000000%=134144,99.000000%=228352,99.500000%=284672,99.900000%=419840,99.950000%=497664,99.990000%=626688,0%=0,0%=0,0%=0,614,1039367,25473.572441,50885.180516,378,41733,0.01580409,12702.506009,5004.595108,0.00140347,0.00591453,1143672,0,768,0.001,0.001,0.001,1,0,0,0,0,0,0,0,0,0,0,0.0063,0.0307,0.0394,0.2309,0.2193,0.1441,0.0783,0.0969,0.0816,0.0654,0.0066,0.0004,0.0001,0.0001,0,scinia,880156,378146,0,0,21086648,9617044,30750760,0.9996
server20-s5_fio_direct-1_readwrite-readwrite_rwmixwrite-30_no-jobs-64_bs-16k_iodepth-8_10-04_10_10_18.txt,2653.1318359375,169799,3,fio-2.1.3,server20-s5,0,0,114518624,1902271,118891,60201,2,3941,11.089162,9.841244,27,761565,2778.617336,10014.421906,1.000000%=245,5.000000%=398,10.000000%=516,20.000000%=684,30.000000%=852,40.000000%=1020,50.000000%=1256,60.000000%=1608,70.000000%=2160,80.000000%=2992,90.000000%=5152,95.000000%=8096,99.000000%=18304,99.500000%=29312,99.900000%=199680,99.950000%=205824,99.990000%=350208,0%=0,0%=0,0%=0,117,761574,2789.807626,10014.38855,1725,67244,0.01571037,29885.375726,9661.773942,49035904,814536,50908,60201,2,5021,11.660146,10.028453,134,827149,3496.548985,14477.384527,1.000000%=498,5.000000%=636,10.000000%=732,20.000000%=884,30.000000%=1032,40.000000%=1208,50.000000%=1432,60.000000%=1752,70.000000%=2288,80.000000%=3248,90.000000%=5664,95.000000%=8768,99.000000%=22656,99.500000%=69120,99.900000%=207872,99.950000%=218112,99.990000%=407552,0%=0,0%=0,0%=0,293,827158,3508.312401,14477.379645,660,29088,0.01571005,12796.400555,4168.030671,0.00496294,0.03697006,8645810,0,34917,0.001,0.001,0.001,1,0,0,0,0,0,0,0,0.0001,0.0001,0.0074,0.0612,0.1333,0.1527,0.3148,0.1866,0.1086,0.0257,0.0057,0.001,0.0027,0.0002,0.0001,0.0001,0,0,scinia,7157670,3064733,0,0,19907116,10719436,30926564,1
server20-s5_fio_direct-1_readwrite-readwrite_rwmixwrite-30_no-jobs-64_bs-4k_iodepth-8_10-04_10_09_13.txt,866.3984375,221797,3,fio-2.1.3,server20-s5,0,0,37256932,620917,155229,60003,2,23295,66.119921,60.521662,1,220108,2178.831011,2386.432484,1.000000%=286,5.000000%=490,10.000000%=668,20.000000%=940,30.000000%=1176,40.000000%=1416,50.000000%=1672,60.000000%=1976,70.000000%=2352,80.000000%=2928,90.000000%=3920,95.000000%=5024,99.000000%=10176,99.500000%=16768,99.900000%=28288,99.950000%=30592,99.990000%=39680,0%=0,0%=0,0%=0,112,220186,2245.172087,2387.185622,718,35640,0.01563307,9706.840074,2829.147688,15977304,266275,66568,60003,2,14142,66.44365,60.434594,1,268509,2385.807354,2656.431555,1.000000%=458,5.000000%=652,10.000000%=836,20.000000%=1112,30.000000%=1352,40.000000%=1608,50.000000%=1864,60.000000%=2160,70.000000%=2576,80.000000%=3120,90.000000%=4128,95.000000%=5280,99.000000%=10560,99.500000%=17536,99.900000%=29312,99.950000%=32128,99.990000%=83456,0%=0,0%=0,0%=0,257,268575,2452.480373,2656.94737,223,15568,0.01563304,4162.686843,1218.389499,0.00567807,0.23298936,7914498,0,30093,0.001,0.001,0.001,1,0,0,0,0.0001,0,0,0,0.0001,0.0001,0.0038,0.0378,0.0693,0.0927,0.3851,0.3129,0.0881,0.0063,0.004,0.0001,0.0001,0.0001,0,0,0,0,scinia,9298682,3987631,0,0,20302748,9518208,29877740,1
server21-s5_fio_direct-1_readwrite-randrw_rwmixwrite-30_no-jobs-64_bs-128k_iodepth-8_10-04_10_14_41.txt,2619.3505859375,20954,3,fio-2.1.3,server21-s5,0,0,113017600,1878991,14679,60148,9,655,23.664709,7.755987,1,904947,23877.099464,49062.495176,1.000000%=516,5.000000%=636,10.000000%=788,20.000000%=1064,30.000000%=1368,40.000000%=1784,50.000000%=2416,60.000000%=3632,70.000000%=9536,80.000000%=32640,90.000000%=83456,95.000000%=138240,99.000000%=211968,99.500000%=246784,99.900000%=391168,99.950000%=444416,99.990000%=569344,0%=0,0%=0,0%=0,407,904970,23900.954056,49061.968726,3915,56320,0.0156834,29468.965742,5908.216827,48312320,803224,6275,60148,9,722,26.425506,7.874682,682,885614,25489.205317,50991.473586,1.000000%=988,5.000000%=1208,10.000000%=1384,20.000000%=1656,30.000000%=1944,40.000000%=2288,50.000000%=2864,60.000000%=4192,70.000000%=11456,80.000000%=35072,90.000000%=88576,95.000000%=144384,99.000000%=218112,99.500000%=254976,99.900000%=407552,99.950000%=473088,99.990000%=610304,0%=0,0%=0,0%=0,703,885646,25515.849491,50990.969894,1957,24692,0.0156823,12596.401009,2846.103772,0.00236308,0.01014148,1242547,0,661,0.001,0.001,0.001,1,0,0,0,0.0001,0,0,0,0,0,0,0.0049,0.0564,0.067,0.2754,0.2053,0.0902,0.0543,0.0885,0.0757,0.0775,0.0046,0.0002,0.0001,0,0,scinia,883176,377440,0,0,21072500,9616972,30743288,1
server21-s5_fio_direct-1_readwrite-randrw_rwmixwrite-30_no-jobs-64_bs-16k_iodepth-8_10-04_10_13_35.txt,2460.80859375,157491,3,fio-2.1.3,server21-s5,0,0,105967952,1764133,110258,60068,3,7890,12.440772,11.882437,0,821580,3030.544651,10604.970592,1.000000%=239,5.000000%=306,10.000000%=398,20.000000%=516,30.000000%=628,40.000000%=820,50.000000%=1020,60.000000%=1288,70.000000%=1816,80.000000%=2800,90.000000%=6944,95.000000%=13120,99.000000%=20352,99.500000%=23936,99.900000%=203776,99.950000%=205824,99.990000%=220160,0%=0,0%=0,0%=0,155,821596,3043.098059,10604.804165,6944,40512,0.01567446,27651.836306,4829.308969,45395504,755735,47233,60068,3,9517,13.169078,13.127502,33,823313,3711.086169,13887.950748,1.000000%=454,5.000000%=572,10.000000%=660,20.000000%=796,30.000000%=956,40.000000%=1128,50.000000%=1304,60.000000%=1576,70.000000%=2040,80.000000%=3056,90.000000%=7456,95.000000%=13632,99.000000%=21632,99.500000%=55040,99.900000%=205824,99.950000%=211968,99.990000%=395264,0%=0,0%=0,0%=0,300,823321,3724.381319,13887.850461,2944,18048,0.01567282,11844.495442,2109.882235,0.00655382,0.03899082,8973149,0,29202,0.001,0.001,0.001,1,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0116,0.1262,0.1699,0.1342,0.273,0.1342,0.0769,0.0618,0.0085,0.0006,0.003,0.0001,0.0001,0.0001,0,0,scinia,6607409,2830481,0,0,20042972,10512212,30885180,1
server21-s5_fio_direct-1_readwrite-randrw_rwmixwrite-30_no-jobs-64_bs-4k_iodepth-8_10-04_10_12_30.txt,982.591796875,251543,3,fio-2.1.3,server21-s5,0,0,42263828,704373,176093,60002,2,33663,62.89677,80.465643,1,215955,1890.80222,1810.216353,1.000000%=434,5.000000%=644,10.000000%=788,20.000000%=996,30.000000%=1176,40.000000%=1368,50.000000%=1576,60.000000%=1800,70.000000%=2096,80.000000%=2480,90.000000%=3248,95.000000%=4128,99.000000%=6624,99.500000%=7712,99.900000%=12608,99.950000%=16768,99.990000%=95744,0%=0,0%=0,0%=0,168,216007,1953.907598,1818.486587,6824,12304,0.01563211,11010.835741,538.104518,18108704,301801,75450,60002,3,18479,63.220681,78.818257,59,212931,2157.809726,2130.535473,1.000000%=572,5.000000%=804,10.000000%=964,20.000000%=1192,30.000000%=1400,40.000000%=1608,50.000000%=1816,60.000000%=2064,70.000000%=2384,80.000000%=2800,90.000000%=3568,95.000000%=4512,99.000000%=7008,99.500000%=8160,99.900000%=14528,99.950000%=22656,99.990000%=101888,0%=0,0%=0,0%=0,233,213004,2221.244761,2137.351982,2912,5424,0.0156329,4718.024816,268.879253,0.00771353,0.25297682,11253262,0,31702,0.001,0.001,0.001,1,0,0,0,0.0001,0,0,0.0001,0.0001,0.0001,0.0004,0.0138,0.0571,0.1047,0.4672,0.2967,0.0582,0.0016,0.0002,0.0001,0.0001,0,0,0,0,0,scinia,10545276,4518215,0,0,20075364,9802752,29901552,0.9995
server21-s5_fio_direct-1_readwrite-readwrite_rwmixwrite-30_no-jobs-64_bs-128k_iodepth-8_10-04_10_11_24.txt,2543.25390625,20345,3,fio-2.1.3,server21-s5,0,0,109638144,1822351,14237,60163,8,1120,21.840523,7.143487,349,819385,24737.170601,48718.619355,1.000000%=604,5.000000%=804,10.000000%=1004,20.000000%=1400,30.000000%=1864,40.000000%=2544,50.000000%=3504,60.000000%=5600,70.000000%=12480,80.000000%=33024,90.000000%=86528,95.000000%=134144,99.000000%=216064,99.500000%=268288,99.900000%=374784,99.950000%=428032,99.990000%=569344,0%=0,0%=0,0%=0,369,819408,24759.170879,48718.546707,666,83968,0.01574294,28689.16797,11359.74811,47043968,781941,6108,60163,8,707,24.992901,6.969696,676,716399,25905.188365,50314.340908,1.000000%=996,5.000000%=1240,10.000000%=1432,20.000000%=1768,30.000000%=2160,40.000000%=2736,50.000000%=3728,60.000000%=6240,70.000000%=13888,80.000000%=34560,90.000000%=88576,95.000000%=138240,99.000000%=224256,99.500000%=280576,99.900000%=391168,99.950000%=456704,99.990000%=618496,0%=0,0%=0,0%=0,693,716432,25930.370366,50314.191057,227,37120,0.01574556,12312.095644,5061.13347,0.00194547,0.00864273,1086795,0,641,0.001,0.001,0.001,1,0,0,0,0,0,0,0,0,0,0,0.0016,0.0247,0.0459,0.2321,0.2245,0.1437,0.0728,0.0956,0.0762,0.0762,0.0063,0.0002,0.0001,0,0,scinia,856800,367531,0,0,21177488,9514752,30733856,0.9999
