Source.Name,Total Throughput (MB\s),IOPS,terse_version_3,fio_version,jobname,groupid,error,read_kb,read_bandwidth,read_iops,read_runtime_ms,read_slat_min,read_slat_max,read_slat_mean,read_slat_dev,read_clat_max,read_clat_min,read_clat_mean,read_clat_dev,read_clat_pct01,read_clat_pct02,read_clat_pct03,read_clat_pct04,read_clat_pct05,read_clat_pct06,read_clat_pct07,read_clat_pct08,read_clat_pct09,read_clat_pct10,read_clat_pct11,read_clat_pct12,read_clat_pct13,read_clat_pct14,read_clat_pct15,read_clat_pct16,read_clat_pct17,read_clat_pct18,read_clat_pct19,read_clat_pct20,read_tlat_min,read_lat_max,read_lat_mean,read_lat_dev,read_bw_min,read_bw_max,read_bw_agg_pct,read_bw_mean,read_bw_dev,write_kb,write_bandwidth,write_iops,write_runtime_ms,write_slat_min,write_slat_max,write_slat_mean,write_slat_dev,write_clat_max,write_clat_min,write_clat_mean,write_clat_dev,write_clat_pct01,write_clat_pct02,write_clat_pct03,write_clat_pct04,write_clat_pct05,write_clat_pct06,write_clat_pct07,write_clat_pct08,write_clat_pct09,write_clat_pct10,write_clat_pct11,write_clat_pct12,write_clat_pct13,write_clat_pct14,write_clat_pct15,write_clat_pct16,write_clat_pct17,write_clat_pct18,write_clat_pct19,write_clat_pct20,write_tlat_min,write_lat_max,write_lat_mean,write_lat_dev,write_bw_min,write_bw_max,write_bw_agg_pct,write_bw_mean,write_bw_dev,cpu_user,cpu_sys,cpu_csw,cpu_mjf,pu_minf,iodepth_1,iodepth_2,iodepth_4,iodepth_8,iodepth_16,iodepth_32,iodepth_64,lat_2us,lat_4us,lat_10us,lat_20us,lat_50us,lat_100us,lat_250us,lat_500us,lat_750us,lat_1000us,lat_2ms,lat_4ms,lat_10ms,lat_20ms,lat_50ms,lat_100ms,lat_250ms,lat_500ms,lat_750ms,lat_1000ms,lat_2000ms,lat_over_2000ms,disk_name,disk_read_iops,disk_write_iops,disk_read_merges,disk_write_merges,disk_read_ticks,write_ticks,disk_queue_time,disk_util
server20-s5_d-1_rwmxw-30_jobs-64_bs-4k-rand_io-8_01-23_10_45_15.txt,316.2841796875,80968,3,fio-2.1.3,server20-s5,0,0,13612820,226800,56700,60021,2,11804,6.920115,18.683567,0,260678,5347.021144,13439.130923,1.000000%=201,5.000000%=227,10.000000%=247,20.000000%=278,30.000000%=314,40.000000%=354,50.000000%=418,60.000000%=604,70.000000%=1400,80.000000%=4576,90.000000%=16512,95.000000%=31616,99.000000%=68096,99.500000%=81408,99.900000%=115200,99.950000%=132096,99.990000%=189440,0%=0,0%=0,0%=0,137,260691,5354.014786,13438.831808,1043,5816,1.56%,3543.502626,736.746457,5826560,97075,24268,60021,2,11250,7.194356,24.778027,1,573802,8572.871723,18077.391818,1.000000%=318,5.000000%=374,10.000000%=422,20.000000%=516,30.000000%=668,40.000000%=988,50.000000%=1560,60.000000%=2384,70.000000%=4512,80.000000%=11328,90.000000%=25728,95.000000%=43264,99.000000%=85504,99.500000%=104960,99.900000%=164864,99.950000%=201728,99.990000%=280576,0%=0,0%=0,0%=0,224,573810,8580.144005,18077.132258,394,2544,1.56%,1516.642069,319.145981,0.21%,1.34%,4778193,0,94,0.10%,0.10%,0.10%,100.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.01%,0.01%,0.01%,7.71%,37.30%,9.05%,4.38%,10.14%,7.43%,7.52%,6.75%,6.99%,2.42%,0.32%,0.01%,0.01%,0.00%,0.00%,0.00%,scinia,3398541,1454489,0,0,18182796,12469508,30794424,100.00%
server21-s5_d-1_rwmxw-30_jobs-64_bs-4k-rand_io-8_01-23_10_45_15.txt,169.66796875,43435,3,fio-2.1.3,server21-s5,0,0,7296776,121552,30388,60030,2,1188,6.759401,4.273101,94,331941,10830.973774,27801.938504,1.000000%=199,5.000000%=223,10.000000%=241,20.000000%=266,30.000000%=298,40.000000%=342,50.000000%=454,60.000000%=940,70.000000%=1752,80.000000%=5088,90.000000%=39168,95.000000%=76288,99.000000%=134144,99.500000%=154624,99.900000%=201728,99.950000%=216064,99.990000%=248832,0%=0,0%=0,0%=0,136,331946,10837.826563,27801.602295,674,3473,1.56%,1900.139132,410.467429,3132872,52188,13047,60030,2,809,7.093932,3.639865,225,634480,13981.943016,31093.880903,1.000000%=322,5.000000%=374,10.000000%=422,20.000000%=532,30.000000%=748,40.000000%=1144,50.000000%=1704,60.000000%=2448,70.000000%=4448,80.000000%=13888,90.000000%=48384,95.000000%=84480,99.000000%=146432,99.500000%=173056,99.900000%=228352,99.950000%=254976,99.990000%=329728,0%=0,0%=0,0%=0,231,634490,13989.149356,31093.557019,256,1560,1.56%,815.62735,183.677918,0.12%,0.72%,2572391,0,85,0.10%,0.10%,0.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,9.29%,32.16%,7.39%,4.78%,13.34%,8.94%,5.34%,4.03%,6.08%,5.51%,3.11%,0.02%,0.01%,0.00%,0.00%,0.00%,scinia,1821021,781724,0,0,19721964,10929916,30764084,100.00%
server22-s5_d-1_rwmxw-30_jobs-64_bs-4k-rand_io-8_01-23_10_45_15.txt,146.744140625,37566,3,fio-2.1.3,server22-s5,0,0,6320936,105292,26323,60032,2,889,6.639583,3.569664,106,599110,12686.107589,31443.532715,1.000000%=195,5.000000%=219,10.000000%=241,20.000000%=282,30.000000%=346,40.000000%=620,50.000000%=1288,60.000000%=2096,70.000000%=4080,80.000000%=13248,90.000000%=35584,95.000000%=76288,99.000000%=160768,99.500000%=195584,99.900000%=259072,99.950000%=288768,99.990000%=321536,0%=0,0%=0,0%=0,135,599116,12692.825682,31443.255181,368,3264,1.56%,1644.962144,406.273869,2699908,44974,11243,60032,2,985,6.910606,4.2599,223,578057,15801.062204,33030.891839,1.000000%=334,5.000000%=414,10.000000%=506,20.000000%=860,30.000000%=1432,40.000000%=2064,50.000000%=2832,60.000000%=4576,70.000000%=9920,80.000000%=19072,90.000000%=44800,95.000000%=84480,99.000000%=166912,99.500000%=203776,99.900000%=268288,99.950000%=292864,99.990000%=329728,0%=0,0%=0,0%=0,228,578062,15808.052928,33030.637077,136,1384,1.56%,702.288286,180.708454,0.11%,0.61%,2223106,0,119,0.10%,0.10%,0.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.63%,20.46%,5.85%,4.19%,13.74%,13.32%,9.01%,8.50%,8.13%,4.75%,3.29%,0.14%,0.01%,0.00%,0.00%,0.00%,scinia,1578091,673934,0,0,20018060,10644380,30790600,100.00%
server23-s5_d-1_rwmxw-30_jobs-64_bs-4k-rand_io-8_01-23_10_45_15.txt,188.06640625,48144,3,fio-2.1.3,server23-s5,0,0,8090336,134771,33692,60030,2,688,7.090261,3.712881,93,249598,9649.059643,23388.63743,1.000000%=197,5.000000%=221,10.000000%=241,20.000000%=278,30.000000%=338,40.000000%=524,50.000000%=1048,60.000000%=1672,70.000000%=2448,80.000000%=7584,90.000000%=33024,95.000000%=62208,99.000000%=112128,99.500000%=134144,99.900000%=197632,99.950000%=214016,99.990000%=232448,0%=0,0%=0,0%=0,124,249603,9656.230029,23388.307562,910,3653,1.57%,2111.55384,384.448176,3470280,57809,14452,60030,2,772,7.35645,4.041464,225,577487,12899.724181,27058.890289,1.000000%=326,5.000000%=402,10.000000%=486,20.000000%=772,30.000000%=1208,40.000000%=1704,50.000000%=2224,60.000000%=3056,70.000000%=5920,80.000000%=14144,90.000000%=42752,95.000000%=71168,99.000000%=129536,99.500000%=156672,99.900000%=214016,99.950000%=232448,99.990000%=309248,0%=0,0%=0,0%=0,231,577497,12907.161811,27058.572021,337,1581,1.57%,905.568356,172.614978,0.14%,0.81%,2835259,0,93,0.10%,0.10%,0.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,8.87%,21.86%,6.39%,4.87%,17.39%,13.18%,7.74%,5.53%,6.83%,5.64%,1.69%,0.01%,0.01%,0.00%,0.00%,0.00%,scinia,2020685,866705,0,0,19467400,11164424,30819764,100.00%
server24-s4_d-1_rwmxw-30_jobs-64_bs-4k-rand_io-8_01-23_10_45_15.txt,196.9296875,50413,3,fio-2.1.3,server24-s4,0,0,8473100,141145,35286,60031,2,631,6.159268,3.181385,125,314016,9210.029554,23980.563937,1.000000%=199,5.000000%=225,10.000000%=245,20.000000%=278,30.000000%=322,40.000000%=402,50.000000%=572,60.000000%=892,70.000000%=1512,80.000000%=3280,90.000000%=31616,95.000000%=68096,99.000000%=117248,99.500000%=129536,99.900000%=154624,99.950000%=166912,99.990000%=195584,0%=0,0%=0,0%=0,130,314020,9216.274672,23980.251446,718,4408,1.57%,2211.668383,618.414836,3632592,60511,15127,60031,2,500,6.408288,3.031649,225,518079,12333.910486,27716.42794,1.000000%=322,5.000000%=378,10.000000%=434,20.000000%=556,30.000000%=764,40.000000%=1096,50.000000%=1640,60.000000%=2352,70.000000%=3792,80.000000%=11328,90.000000%=41728,95.000000%=77312,99.000000%=129536,99.500000%=148480,99.900000%=199680,99.950000%=232448,99.990000%=342016,0%=0,0%=0,0%=0,232,518083,12340.407354,27716.13537,271,1912,1.57%,947.791419,271.02538,0.15%,0.77%,2986930,0,99,0.10%,0.10%,0.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.17%,29.12%,10.97%,6.59%,14.31%,8.76%,5.12%,3.66%,5.60%,5.40%,2.27%,0.01%,0.01%,0.00%,0.00%,0.00%,scinia,2116339,907180,0,0,19474240,11179056,30755716,100.00%
server25-s4_d-1_rwmxw-30_jobs-64_bs-4k-rand_io-8_01-23_10_45_15.txt,109.8828125,28129,3,fio-2.1.3,server25-s4,0,0,4734896,78693,19673,60169,2,1531,6.429369,5.348777,17,632034,17266.576567,42044.846568,1.000000%=197,5.000000%=221,10.000000%=237,20.000000%=270,30.000000%=306,40.000000%=378,50.000000%=780,60.000000%=1704,70.000000%=4192,80.000000%=19328,90.000000%=56064,95.000000%=107008,99.000000%=203776,99.500000%=246784,99.900000%=346112,99.950000%=387072,99.990000%=518144,0%=0,0%=0,0%=0,144,632043,17273.080143,42044.562525,177,2488,1.57%,1235.228159,330.177036,2035392,33827,8456,60169,2,1462,6.688058,5.459004,220,630903,20298.100242,43699.933954,1.000000%=322,5.000000%=386,10.000000%=446,20.000000%=628,30.000000%=1032,40.000000%=1608,50.000000%=2320,60.000000%=4016,70.000000%=12096,80.000000%=24192,90.000000%=63232,95.000000%=114176,99.000000%=211968,99.500000%=254976,99.900000%=354304,99.950000%=395264,99.990000%=501760,0%=0,0%=0,0%=0,224,630908,20304.865422,43699.652377,51,1157,1.57%,530.76402,147.809246,0.08%,0.45%,1674564,0,113,0.10%,0.10%,0.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,9.85%,26.10%,5.89%,3.74%,12.14%,9.06%,5.48%,7.05%,9.51%,5.45%,5.24%,0.48%,0.01%,0.00%,0.00%,0.00%,scinia,1182462,508240,0,0,20359236,10288980,30741324,100.00%
server26-s4_d-1_rwmxw-30_jobs-64_bs-4k-rand_io-8_01-23_10_45_15.txt,364.548828125,93323,3,fio-2.1.3,server26-s4,0,0,15682204,261239,65309,60030,2,19145,7.182638,33.934814,1,283209,4533.035956,11453.021054,1.000000%=201,5.000000%=227,10.000000%=245,20.000000%=278,30.000000%=310,40.000000%=354,50.000000%=426,60.000000%=620,70.000000%=1224,80.000000%=2736,90.000000%=15424,95.000000%=28032,99.000000%=51968,99.500000%=66048,99.900000%=112128,99.950000%=128512,99.990000%=173056,0%=0,0%=0,0%=0,122,283213,4540.300017,11452.760267,1504,7312,1.57%,4092.914128,682.61473,6726960,112059,28014,60030,2,19706,7.489092,39.274762,1,526572,7677.962853,16557.474261,1.000000%=314,5.000000%=370,10.000000%=418,20.000000%=516,30.000000%=676,40.000000%=996,50.000000%=1512,60.000000%=2192,70.000000%=3600,80.000000%=9408,90.000000%=24192,95.000000%=38144,99.000000%=76288,99.500000%=97792,99.900000%=160768,99.950000%=195584,99.990000%=280576,0%=0,0%=0,0%=0,225,526576,7685.536917,16557.268441,536,3000,1.57%,1755.318277,300.553228,0.24%,1.57%,5492476,0,2052,0.10%,0.10%,0.10%,100.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,7.97%,36.46%,9.56%,5.08%,12.03%,7.83%,6.16%,5.67%,7.59%,1.40%,0.24%,0.01%,0.01%,0.00%,0.00%,0.00%,scinia,3917809,1680378,0,0,17744572,12893992,30816020,100.00%
server27-s4_d-1_rwmxw-30_jobs-64_bs-4k-rand_io-8_01-23_10_45_15.txt,384.36328125,98396,3,fio-2.1.3,server27-s4,0,0,16544948,275602,68900,60032,2,16326,7.111753,13.263042,0,231626,4251.572678,9798.450428,1.000000%=199,5.000000%=225,10.000000%=245,20.000000%=274,30.000000%=306,40.000000%=346,50.000000%=410,60.000000%=628,70.000000%=1544,80.000000%=3600,90.000000%=13888,95.000000%=25984,99.000000%=47360,99.500000%=55552,99.900000%=77312,99.950000%=87552,99.990000%=117248,0%=0,0%=0,0%=0,136,231637,4258.760668,9798.142717,2139,7120,1.56%,4306.047794,783.728308,7082956,117986,29496,60032,2,6995,7.378646,13.938101,7,564654,7393.543059,14996.763004,1.000000%=310,5.000000%=366,10.000000%=414,20.000000%=506,30.000000%=652,40.000000%=972,50.000000%=1560,60.000000%=2448,70.000000%=4512,80.000000%=10432,90.000000%=22656,95.000000%=35072,99.000000%=66048,99.500000%=84480,99.900000%=142336,99.950000%=187392,99.990000%=272384,0%=0,0%=0,0%=0,224,564659,7400.999828,14996.539859,870,2986,1.56%,1843.112395,339.741736,0.27%,1.65%,5783902,0,2049,0.10%,0.10%,0.10%,100.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,8.29%,37.00%,8.26%,4.14%,10.50%,8.84%,7.99%,6.49%,7.27%,1.11%,0.10%,0.01%,0.01%,0.00%,0.00%,0.00%,scinia,4130108,1767801,0,0,17565448,13079368,30801572,100.00%
server28-s4_d-1_rwmxw-30_jobs-64_bs-4k-rand_io-8_01-23_10_45_15.txt,384.236328125,98364,3,fio-2.1.3,server28-s4,0,0,16527940,275328,68832,60030,2,16808,7.517139,23.940775,1,225718,4172.471549,11912.14253,1.000000%=205,5.000000%=231,10.000000%=249,20.000000%=282,30.000000%=314,40.000000%=354,50.000000%=422,60.000000%=628,70.000000%=1144,80.000000%=1912,90.000000%=8896,95.000000%=28544,99.000000%=63232,99.500000%=74240,99.900000%=95744,99.950000%=103936,99.990000%=128512,0%=0,0%=0,0%=0,138,225723,4180.068288,11911.771525,1728,8608,1.57%,4313.4375,1170.321479,7091348,118130,29532,60030,2,10239,7.775371,19.333019,2,517578,7577.337816,17051.054998,1.000000%=314,5.000000%=378,10.000000%=426,20.000000%=540,30.000000%=740,40.000000%=1128,50.000000%=1656,60.000000%=2288,70.000000%=3280,80.000000%=7264,90.000000%=22400,95.000000%=42240,99.000000%=80384,99.500000%=95744,99.900000%=154624,99.950000%=197632,99.990000%=288768,0%=0,0%=0,0%=0,220,517585,7585.198565,17050.759552,630,3672,1.57%,1850.456276,503.724556,0.25%,1.70%,5768851,0,2971,0.10%,0.10%,0.10%,100.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.01%,0.01%,0.01%,7.04%,36.88%,9.25%,5.36%,14.84%,9.49%,5.33%,3.87%,5.39%,2.38%,0.17%,0.01%,0.01%,0.00%,0.00%,0.00%,scinia,4127320,1770717,0,0,17222748,13417628,30801456,100.00%
server29-s4_d-1_rwmxw-30_jobs-64_bs-4k-rand_io-8_01-23_10_45_15.txt,418.11328125,107036,3,fio-2.1.3,server29-s4,0,0,17988372,299646,74911,60032,2,8852,8.381923,16.978446,1,355811,3724.018378,10663.719033,1.000000%=199,5.000000%=227,10.000000%=247,20.000000%=278,30.000000%=310,40.000000%=346,50.000000%=398,60.000000%=532,70.000000%=1080,80.000000%=2064,90.000000%=7904,95.000000%=22912,99.000000%=56576,99.500000%=66048,99.900000%=87552,99.950000%=95744,99.990000%=124416,0%=0,0%=0,0%=0,121,355819,3732.481802,10663.2455,1437,8239,1.57%,4692.42437,1183.460723,7714244,128502,32125,60032,2,10028,8.674703,21.425973,21,536941,7216.089277,15949.305431,1.000000%=310,5.000000%=374,10.000000%=422,20.000000%=532,30.000000%=716,40.000000%=1096,50.000000%=1640,60.000000%=2320,70.000000%=3632,80.000000%=8096,90.000000%=20608,95.000000%=37632,99.000000%=73216,99.500000%=89600,99.900000%=154624,99.950000%=199680,99.990000%=288768,0%=0,0%=0,0%=0,221,536953,7224.847938,15948.970828,695,3768,1.57%,2012.198136,507.199174,0.28%,2.03%,6236956,0,2999,0.10%,0.10%,0.10%,100.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.01%,0.01%,0.01%,7.67%,38.59%,8.76%,4.69%,12.64%,9.64%,6.58%,4.45%,5.00%,1.85%,0.12%,0.01%,0.01%,0.00%,0.00%,0.00%,scinia,4493262,1926691,0,0,16727128,13908084,30802356,100.00%
